Price	Volume
1	9978
1	9353
1	8667
1	7717
1	11327
1	9079
1	11952
1	4429
1	11578
1	7807
1	4996
1	7866
1	9099
1	7013
1	12125
1	7707
1	13429
1	6780
1	8815
1	7660
1	8384
1	12042
1	9348
1	9044
1	9513
1	3332
1	3922
1	15896
1	6455
1	12111
1	0
1	18327
1	7832
1	15048
1	0
1	15553
1	9115
1	11456
1	8552
1	13085
1	7914
1	18827
1	9248
1	15353
1	12259
1	16424
1	7450
1	15147
1	11576
1	13916
1	11666
1	15194
1	10410
1	14099
1	9988
1	13178
1	7332
1	16599
1	7513
1	13559
2	12208
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
2	0
24	121
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
24	0
342	147
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
342	0
2352	204
2352	0
2352	0
2352	0
2352	0
11304	61
11304	0
11304	0
11304	0
11304	0
16310	92
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
16310	0
59056	18
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
59056	0
87614	6
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
87614	0
129533	1
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
129533	0
